Sample	contamination_score	contamination_p_value	Contamination	median_insert_size	median_exon_coverage_count	pct_exon_50x_perc	median_insert_size_guidelines	median_exon_coverage_guidelines	pct_exon_50x_guidelines	unstable_msi_sites	unstable_msi_sites_guidelines	coverage_mad_count	median_bin_count_cnv_target_count	coverage_mad_guidelines	median_bin_count_cnv_target_guidelines	rna_median_cv__gene_500x_perc	rna_total_on_target_reads_count	rna_median_insert_size_count	rna_median_cv__gene_500x_guidelines	rna_total_on_target_reads_guidelines	rna_median_insert_size_guidelines	total_pf_reads	mean_family_size	median_target_coverage	pct_chimeric_reads	pct_exon_100x	pct_read_enrichment	pct_usable_umi_reads	mean_target_coverage	pct_aligned_reads	pct_contamination_est	pct_pf_uq_reads	pct_target_04x_mean	pct_target_100x	pct_target_250x	rna_pct_chimeric_reads	rna_pct_on_target_reads	rna_scaled_median_gene_coverage	rna_total_pf_reads	PCT_PF_READS_perc	PCT_PF_READS_guidelines	PCT_Q30_R1_perc	PCT_Q30_R1_guidelines	PCT_Q30_R2_perc	PCT_Q30_R2_guidelines	run
16AP	274	1.0	1	104	1306	99.6	1	1	1	116	1	0.193	16.9	1	1	60.38	27829191	123	1	1	1	187888496	2.4	1269.0	2.00	99.4	78.2	99.9	1312.1	98.0	0.5	100.0	93.0	98.6	97.3	0.26	92.8	5622.0	29995610	86.0	1	93.9	1	92.0	1	210715_A01423_0008_AH35CWDRXY
29AP	1892	1.0	1	114	1215	99.4	1	1	1	123	1	0.2	15.9	1	1	69.34	28974106	117	1	1	1	215643078	3.2	1203.0	1.01	99.0	78.8	99.9	1185.3	98.8	0.7	100.0	92.6	98.6	97.1	0.11	96.6	5110.4	30003796	86.0	1	93.9	1	92.0	1	210715_A01423_0008_AH35CWDRXY
37AP	1362	0.667	1	113	1152	99.7	1	1	1	124	1	0.169	14.8	1	1	67.38	12809763	94	1	1	1	240468420	3.2	1145.0	4.87	99.5	70.5	99.9	1191.3	97.5	2.0	100.0	95.2	99.4	98.4	0.16	89.6	2440.9	14303864	86.0	1	93.9	1	92.0	1	210715_A01423_0008_AH35CWDRXY
38AP	1504	0.478	1	103	1283	99.6	1	1	1	124	1	0.107	17.3	1	1	NA	NA	NA	NA	NA	NA	215172296	2.5	1243.0	1.88	99.4	72.9	99.9	1303.2	98.5	1.9	100.0	96.0	99.0	98.2	NA	NA	NA	NA	86.0	1	93.9	1	92.0	1	210715_A01423_0008_AH35CWDRXY
FM11	6931	0.027	1	95	457	99.3	1	1	1	109	1	0.165	6.8	1	1	50.47	28102018	123	1	1	1	181095934	5.9	448.0	0.36	98.7	80.3	99.9	457.6	97.1	9.0	100.0	95.8	97.9	91.4	0.16	93.7	6065.4	29995920	86.0	1	93.9	1	92.0	1	210715_A01423_0008_AH35CWDRXY
ML10	142	1.0	1	108	786	99.6	1	1	1	122	1	0.115	10.1	1	1	71.58	28385880	107	1	1	1	180261674	3.8	742.0	0.75	99.3	76.6	99.9	717.0	90.5	0.4	100.0	93.8	98.8	96.0	0.15	94.6	5292.8	29995186	86.0	1	93.9	1	92.0	1	210715_A01423_0008_AH35CWDRXY
SV16	7351	0.001	1	113	743	99.5	1	1	1	124	1	0.211	10.4	0	1	88.51	13950544	86	1	1	1	203816570	4.4	723.0	0.57	99.1	77.5	99.9	768.3	97.7	4.2	100.0	95.6	98.7	96.9	0.21	82.7	2187.1	16861832	86.0	1	93.9	1	92.0	1	210715_A01423_0008_AH35CWDRXY
SV4	73	1.0	1	117	1646	99.6	1	1	1	124	1	0.093	20.9	1	1	NA	NA	NA	NA	NA	NA	238929534	2.6	1595.0	0.71	99.4	76.8	99.9	1619.0	98.8	0.2	100.0	95.8	99.1	98.3	NA	NA	NA	NA	86.0	1	93.9	1	92.0	1	210715_A01423_0008_AH35CWDRXY
39AP	474	1.0	1	116	792	99.5	1	1	1	125	1	0.162	10.2	1	1	62.69	27213348	93	1	1	1	181854056	3.7	786.0	3.79	99.2	70.6	99.9	781.9	98.3	1.0	100.0	96.5	98.9	97.4	0.18	90.7	5396.4	30001972	81.4	1	92.9	1	91.3	1	210729_A01423_0009_AH33WGDRXY
42AP	1270	0.656	1	114	833	99.7	1	1	1	124	1	0.161	10.9	1	1	45.81	27852572	133	1	1	1	241652928	4.4	809.0	2.07	99.5	73.3	99.9	881.3	97.8	2.5	100.0	96.7	99.1	98.1	0.23	92.9	6245.4	29994340	81.4	1	92.9	1	91.3	1	210729_A01423_0009_AH33WGDRXY
